N	mop_num	b_lon	b_lat	p_lon	p_lat	depth	orient	shore_type
1	D0001	-117.12410	32.53430	-117.12917	32.53426	-10.03	269.46	1
2	D0002	-117.12410	32.53520	-117.12917	32.53524	-10.03	270.54	1
3	D0003	-117.12410	32.53610	-117.12918	32.53587	-10.01	266.93	1
4	D0004	-117.12420	32.53700	-117.12925	32.53678	-10.00	267.04	1
5	D0005	-117.12420	32.53790	-117.12933	32.53771	-10.02	267.48	1
6	D0006	-117.12430	32.53880	-117.12940	32.53857	-10.01	266.94	1
7	D0007	-117.12430	32.53970	-117.12951	32.53951	-10.00	267.52	1
8	D0008	-117.12440	32.54060	-117.12956	32.54018	-10.01	264.49	1
9	D0009	-117.12450	32.54150	-117.12978	32.54083	-10.09	261.44	1
10	D0010	-117.12470	32.54240	-117.13010	32.54156	-9.99	259.55	1
11	D0011	-117.12490	32.54330	-117.13025	32.54247	-10.01	259.57	1
12	D0012	-117.12510	32.54420	-117.13043	32.54337	-10.00	259.53	1
13	D0013	-117.12530	32.54510	-117.13081	32.54420	-10.00	259.03	1
14	D0014	-117.12550	32.54600	-117.13152	32.54502	-10.00	259.07	1
15	D0015	-117.12570	32.54690	-117.13221	32.54584	-10.00	259.07	1
16	D0016	-117.12590	32.54780	-117.13268	32.54663	-10.00	258.43	1
17	D0017	-117.12610	32.54860	-117.13303	32.54747	-10.00	259.05	1
18	D0018	-117.12630	32.54950	-117.13351	32.54810	-10.00	257.03	1
19	D0019	-117.12660	32.55040	-117.13402	32.54890	-10.00	256.51	1
20	D0020	-117.12680	32.55130	-117.13454	32.54979	-10.00	256.97	1
21	D0021	-117.12710	32.55220	-117.13500	32.55048	-10.01	255.52	1
22	D0022	-117.12730	32.55300	-117.13560	32.55094	-10.00	253.59	2
23	D0023	-117.12770	32.55390	-117.13584	32.55120	-10.00	248.52	1
24	D0024	-117.12810	32.55470	-117.13661	32.55201	-10.00	249.44	1
25	D0025	-117.12840	32.55550	-117.13744	32.55288	-10.01	251.02	1
26	D0026	-117.12880	32.55640	-117.13792	32.55330	-10.00	248.04	1
27	D0027	-117.12920	32.55720	-117.13876	32.55395	-10.01	248.03	1
28	D0028	-117.12960	32.55810	-117.13951	32.55473	-10.00	248.03	1
29	D0029	-117.13000	32.55890	-117.14080	32.55503	-10.01	246.97	1
30	D0030	-117.13040	32.55970	-117.14198	32.55536	-10.00	246.03	1
31	D0031	-117.13090	32.56060	-117.14327	32.55595	-10.01	245.96	1
32	D0032	-117.13130	32.56140	-117.14532	32.55722	-10.00	250.52	1
33	D0033	-117.13160	32.56230	-117.14871	32.55803	-10.00	253.51	1
34	D0034	-117.13190	32.56310	-117.15016	32.55912	-10.00	255.50	1
35	D0035	-117.13210	32.56400	-117.15001	32.56041	-10.00	256.62	1
36	D0036	-117.13240	32.56490	-117.14924	32.56175	-10.00	257.49	2
37	D0037	-117.13260	32.56580	-117.14951	32.56290	-10.01	258.50	2
38	D0038	-117.13280	32.56660	-117.14934	32.56514	-10.00	264.02	1
39	D0039	-117.13280	32.56750	-117.14917	32.56684	-10.08	267.26	1
40	D0040	-117.13290	32.56840	-117.14915	32.56852	-10.00	270.50	1
41	D0041	-117.13280	32.56930	-117.14776	32.57040	-10.00	274.99	2
42	D0042	-117.13270	32.57020	-117.14783	32.57063	-10.00	271.93	2
43	D0043	-117.13270	32.57110	-117.14917	32.57183	-10.08	273.01	1
44	D0044	-117.13260	32.57200	-117.14896	32.57320	-10.00	274.97	1
45	D0045	-117.13250	32.57290	-117.14911	32.57346	-10.00	272.29	1
46	D0046	-117.13250	32.57380	-117.14660	32.57442	-10.00	272.99	1
47	D0047	-117.13240	32.57470	-117.14562	32.57516	-10.00	272.36	1
48	D0048	-117.13240	32.57560	-117.14500	32.57560	-9.87	270.00	1
49	D0049	-117.13240	32.57650	-117.14400	32.57594	-10.00	266.72	1
50	D0050	-117.13250	32.57740	-117.14195	32.57705	-10.00	267.48	1
51	D0051	-117.13250	32.57840	-117.14229	32.57797	-10.00	267.02	1
52	D0052	-117.13260	32.57930	-117.14230	32.57851	-10.00	264.48	1
53	D0053	-117.13270	32.58020	-117.14184	32.57986	-10.00	267.47	1
54	D0054	-117.13270	32.58110	-117.14165	32.58110	-10.00	270.00	1
55	D0055	-117.13270	32.58200	-117.14138	32.58200	-10.00	270.00	1
56	D0056	-117.13270	32.58290	-117.14066	32.58325	-10.01	272.99	1
57	D0057	-117.13260	32.58380	-117.14034	32.58409	-10.00	272.55	1
58	D0058	-117.13260	32.58470	-117.14029	32.58504	-10.00	273.00	1
59	D0059	-117.13250	32.58560	-117.13978	32.58619	-10.00	275.49	1
60	D0060	-117.13240	32.58650	-117.13949	32.58707	-10.00	275.45	1
61	D0061	-117.13230	32.58740	-117.13947	32.58772	-10.00	273.03	1
62	D0062	-117.13230	32.58830	-117.13960	32.58857	-10.00	272.51	1
63	D0063	-117.13220	32.58920	-117.13912	32.58945	-10.00	272.46	1
64	D0064	-117.13220	32.59010	-117.13902	32.59010	-10.01	270.00	1
65	D0065	-117.13220	32.59100	-117.13892	32.59075	-10.00	267.47	1
66	D0066	-117.13230	32.59190	-117.13897	32.59166	-10.01	267.55	1
67	D0067	-117.13230	32.59280	-117.13881	32.59280	-10.00	270.00	1
68	D0068	-117.13230	32.59370	-117.13883	32.59346	-10.00	267.50	1
69	D0069	-117.13240	32.59460	-117.13868	32.59432	-10.00	266.97	1
70	D0070	-117.13240	32.59550	-117.13885	32.59526	-10.00	267.47	1
71	D0071	-117.13250	32.59640	-117.13893	32.59588	-10.00	264.52	1
72	D0072	-117.13260	32.59730	-117.13889	32.59679	-10.02	264.50	1
73	D0073	-117.13270	32.59820	-117.13879	32.59771	-9.99	264.54	1
74	D0074	-117.13280	32.59910	-117.13898	32.59859	-10.00	264.41	1
75	D0075	-117.13290	32.60000	-117.13941	32.59947	-10.00	264.48	1
76	D0076	-117.13300	32.60090	-117.13910	32.60040	-10.01	264.44	1
77	D0077	-117.13310	32.60180	-117.13900	32.60101	-10.01	260.97	1
78	D0078	-117.13330	32.60260	-117.13925	32.60185	-10.01	261.49	1
79	D0079	-117.13340	32.60350	-117.13944	32.60301	-10.01	264.50	1
80	D0080	-117.13350	32.60440	-117.13972	32.60366	-10.00	261.96	1
81	D0081	-117.13370	32.60530	-117.13970	32.60459	-10.01	262.00	1
82	D0082	-117.13380	32.60620	-117.13956	32.60573	-10.00	264.47	1
83	D0083	-117.13390	32.60710	-117.13964	32.60664	-10.00	264.57	1
84	D0084	-117.13400	32.60800	-117.13966	32.60733	-10.02	262.00	1
85	D0085	-117.13420	32.60890	-117.13976	32.60799	-10.01	259.00	1
86	D0086	-117.13440	32.60980	-117.14018	32.60889	-10.01	259.41	1
87	D0087	-117.13460	32.61070	-117.14034	32.60980	-10.01	259.46	1
88	D0088	-117.13480	32.61160	-117.14035	32.61065	-10.01	258.51	1
89	D0089	-117.13500	32.61240	-117.14032	32.61157	-10.01	259.51	1
90	D0090	-117.13520	32.61330	-117.14058	32.61246	-10.01	259.50	1
91	D0091	-117.13540	32.61420	-117.14097	32.61329	-10.00	259.02	1
92	D0092	-117.13560	32.61510	-117.14127	32.61417	-10.02	258.98	1
93	D0093	-117.13580	32.61600	-117.14153	32.61506	-10.01	258.98	1
94	D0094	-117.13600	32.61690	-117.14154	32.61608	-10.00	260.03	1
95	D0095	-117.13620	32.61780	-117.14163	32.61662	-10.01	255.53	1
96	D0096	-117.13650	32.61860	-117.14187	32.61726	-10.01	253.50	1
97	D0097	-117.13680	32.61950	-117.14222	32.61840	-10.02	256.45	1
98	D0098	-117.13700	32.62040	-117.14246	32.61934	-10.00	257.02	1
99	D0099	-117.13730	32.62130	-117.14278	32.62015	-10.00	256.01	1
100	D0100	-117.13750	32.62210	-117.14301	32.62099	-10.00	256.55	1
101	D0101	-117.13780	32.62300	-117.14318	32.62153	-10.01	252.03	1
102	D0102	-117.13820	32.62390	-117.14352	32.62209	-9.99	248.00	1
103	D0103	-117.13860	32.62470	-117.14395	32.62310	-10.01	250.45	1
104	D0104	-117.13890	32.62560	-117.14436	32.62424	-10.01	253.52	1
105	D0105	-117.13920	32.62640	-117.14467	32.62503	-10.02	253.44	1
106	D0106	-117.13950	32.62730	-117.14537	32.62588	-10.00	253.97	1
107	D0107	-117.13980	32.62820	-117.14575	32.62672	-10.00	253.55	1
108	D0108	-117.14010	32.62900	-117.14620	32.62728	-10.00	251.49	1
109	D0109	-117.14050	32.62990	-117.14629	32.62793	-10.01	248.00	1
110	D0110	-117.14090	32.63070	-117.14686	32.62857	-10.00	247.01	1
111	D0111	-117.14130	32.63150	-117.14754	32.62938	-10.00	248.03	1
112	D0112	-117.14170	32.63240	-117.14822	32.63018	-9.99	247.99	1
113	D0113	-117.14210	32.63320	-117.14874	32.63117	-10.01	250.05	1
114	D0114	-117.14240	32.63400	-117.14916	32.63210	-10.00	251.54	1
115	D0115	-117.14280	32.63490	-117.14954	32.63266	-10.01	248.46	1
116	D0116	-117.14320	32.63570	-117.14976	32.63307	-10.00	244.54	1
117	D0117	-117.14370	32.63650	-117.15031	32.63390	-10.00	244.96	1
118	D0118	-117.14410	32.63730	-117.15102	32.63500	-10.07	248.46	1
119	D0119	-117.14450	32.63820	-117.15151	32.63587	-10.00	248.46	1
120	D0120	-117.14490	32.63900	-117.15193	32.63667	-9.96	248.52	1
121	D0121	-117.14530	32.63990	-117.15242	32.63754	-10.01	248.51	1
122	D0122	-117.14570	32.64070	-117.15263	32.63822	-10.00	246.98	1
123	D0123	-117.14610	32.64150	-117.15333	32.63934	-10.01	250.47	2
124	D0124	-117.14640	32.64240	-117.15386	32.64024	-10.00	251.02	1
125	D0125	-117.14680	32.64320	-117.15433	32.64070	-10.00	248.48	1
126	D0126	-117.14720	32.64410	-117.15495	32.64179	-10.01	250.51	2
127	D0127	-117.14750	32.64490	-117.15514	32.64231	-10.00	248.07	2
128	D0128	-117.14800	32.64580	-117.15526	32.64249	-10.00	241.57	2
129	D0129	-117.14850	32.64650	-117.15565	32.64309	-9.99	240.47	1
130	D0130	-117.14900	32.64730	-117.15610	32.64385	-10.01	240.01	1
131	D0131	-117.14960	32.64810	-117.15681	32.64460	-10.00	240.04	1
